Id;Name;MakeId;OriginalId
80000982;Bus: Front engine, Flat front;80;982
80000983;Bus: Rear engine, Flat front;80;983
80000988;Other (bus);80;988
80000989;Unknown (bus);80;989
80000998;Other (vehicle);80;998
80000999;Unknown (BROCKWAY);80;999
81000850;Motor Home;81;850
81000881;Medium/Heavy - CBE;81;881
81000882;Medium/Heavy – COE low entry;81;882
81000883;Medium/Heavy – COE high entry;81;883
81000884;Medium/Heavy – Unknown engine location;81;884
81000890;Medium/Heavy – COE entry position unknown;81;890
81000898;Other (medium/heavy truck);81;898
81000981;Bus**: Conventional (Engine out front);81;981
81000982;Bus: Front engine, Flat front;81;982
81000983;Bus: Rear engine, Flat front;81;983
81000988;Other (bus);81;988
81000989;Unknown (bus);81;989
81000998;Other (vehicle);81;998
81000999;Unknown (DIAMOND REO or REO);81;999
82000461;Sprinter/Advantage;82;461
98000301;Think;98;301
98000302;Meyers Motor;98;302
98000398;Other (automobile);98;398
98000498;Other (light truck);98;498
98000598;Other (LSV/NEV);98;598
98000701;0-50cc;98;701
98000702;51-124cc;98;702
98000703;125-349cc;98;703
98000704;350-449cc;98;704
98000705;450-749cc;98;705
98000706;750cc or greater;98;706
98000707;Electric Motorcycle;98;707
98000709;Unknown cc;98;709
98000731;0-50cc (ATV);98;731
98000732;51-124cc (ATV);98;732
98000733;125-349cc (ATV);98;733
98000734;350cc or greater (ATV);98;734
98000739;Unknown cc (ATV);98;739
98000802;Auto-Union-DKW;98;802
98000803;Divco;98;803
98000804;Western Star;98;804
98000805;Oshkosh;98;805
98000806;Hino;98;806
98000807;Scania;98;807
98000808;UD;98;808
98000809;Sterling;98;809
98000850;Motor Home;98;850
98000870;Medium/Heavy Van-Based Vehicle;98;870
98000881;Medium/Heavy – CBE;98;881
98000882;Medium/Heavy – COE low entry;98;882
98000883;Medium/Heavy – COE high entry;98;883
98000884;Medium/Heavy – Unknown engine location;98;884
98000890;Medium/Heavy – COE entry position unknown;98;890
98000898;Other (medium/heavy truck)**;98;898
98000902;Neoplan;98;902
98000903;Carpenter;98;903
98000904;Collins Bus;98;904
98000905;DINA;98;905
98000906;Mid Bus;98;906
98000907;Orion;98;907
98000908;Van Hool;98;908
98000981;Bus***: Conventional (Engine out front);98;981
98000982;Bus: Front engine, Flat front;98;982
98000983;Bus: Rear engine, Flat front;98;983
98000988;Other (bus);98;988
98000998;Other (vehicle);98;998
98000999;Unknown (OTHER MAKE);98;999
99000399;Unknown (automobile);99;399
99000499;Unknown (light truck);99;499
99000598;Unknown (LSG/NGV);99;598
99000599;Unknown (LSV/NGV);99;599
99000701;0-50cc;99;701
99000702;51-124cc;99;702
99000703;125-349cc;99;703
99000704;350-449cc;99;704
99000705;450-749cc;99;705
99000706;750cc or greater;99;706
99000707;Electric Motorcycle;99;707
99000709;Unknown cc;99;709
99000731;0-50cc (ATV);99;731
99000732;51-124cc (ATV);99;732
99000733;125-349cc (ATV);99;733
99000734;350cc or greater (ATV);99;734
99000739;Unknown cc (ATV);99;739
99000850;Motor Home;99;850
99000870;Medium Heavy Van-Based Vehicle;99;870
99000881;Medium/Heavy – CBE;99;881
99000882;Medium/Heavy - COE low entry;99;882
99000883;Medium/Heavy - COE high entry;99;883
99000884;Medium/Heavy - Unknown engine location;99;884
99000890;Medium/Heavy – COE entry position unknown;99;890
99000898;Other (medium/heavy truck);99;898
99000981;Bus**: Conventional (Engine out front);99;981
99000982;Bus: Front engine. Flat front;99;982
99000983;Bus: Rear engine, Flat front;99;983
99000988;Other (bus);99;988
99000989;Unknown (bus);99;989
99000998;Other (vehicle);99;998
99000999;Unknown (as to automobile, motored cycle, light truck or truck);99;999
82000462;MT 35 Chassis;82;462
82000498;Other (light truck);82;498
82000499;Unknown (light truck);82;499
82000850;Motor Home;82;850
82000870;Medium Heavy Van-Based Vehicle;82;870
82000881;Medium/Heavy - CBE;82;881
82000882;Medium/Heavy – COE low entry;82;882
82000883;Medium/Heavy – COE high entry;82;883
82000884;Medium/Heavy – Unknown engine location;82;884
82000890;Medium/Heavy – COE entry position unknown;82;890
82000898;Other (medium/heavy truck);82;898
82000981;Bus**: Conventional (Engine out front);82;981
82000982;Bus: Front engine, Flat front;82;982
82000983;Bus: Rear engine, Flat front;82;983
82000988;Other (bus);82;988
82000989;Unknown (bus);82;989
82000998;Other (vehicle);82;998
82000999;Unknown (FREIGHTLINER);82;999
83000850;Motor Home;83;850
83000881;Medium/Heavy – CBE;83;881
83000882;Medium/Heavy – COE low entry;83;882
83000883;Medium/Heavy – COE high entry;83;883
83000884;Medium/Heavy – Unknown engine location;83;884
83000890;Medium/Heavy – COE entry position unknown;83;890
83000898;Other (medium/heavy truck);83;898
83000981;Bus**: Conventional (Engine out front);83;981
83000982;Bus: Front engine, Flat front;83;982
83000983;Bus: Rear engine, Flat front;83;983
83000988;Other (bus);83;988
83000989;Unknown (bus);83;989
83000998;Other (vehicle);83;998
83000999;Unknown (FWD);83;999
84000421;Scout;84;421
84000431;Travelall;84;431
84000466;Multistop Van;84;466
84000481;Pickup;84;481
84000498;Other light truck;84;498
84000499;Unknown light truck;84;499
84000850;Motorhome;84;850
84000881;Medium/Heavy - CBE;84;881
84000882;Medium/Heavy – COE low entry;84;882
84000883;Medium/Heavy – COE high entry;84;883
84000884;Medium/Heavy – Unknown engine location;84;884
84000890;Medium/Heavy – COE entry position unknown;84;890
84000898;Other (medium/heavy truck);84;898
84000981;Bus**: Conventional (Engine out front);84;981
84000982;Bus: Front engine, Flat front;84;982
84000983;Bus**: Rear engine, Flat front;84;983
84000988;Other (bus);84;988
84000989;Unknown (bus);84;989
84000998;Other (vehicle);84;998
84000999;Unknown (INTL. HARVESTER/ NAVISTAR);84;999
85000850;Motor Home;85;850
85000881;Medium/Heavy - CBE;85;881
85000882;Medium/Heavy – COE low entry;85;882
85000883;Medium/Heavy – COE high entry;85;883
85000884;Medium/Heavy – Unknown engine location;85;884
85000890;Medium/Heavy – COE entry position unknown;85;890
85000898;Other (medium/heavy truck);85;898
85000981;Bus**: Conventional (Engine out front);85;981
85000982;Bus: Front engine, Flat front;85;982
85000983;Bus: Rear engine, Flat front;85;983
85000988;Other (bus);85;988
85000989;Unknown (bus);85;989
85000998;Other (vehicle);85;998
85000999;Unknown (KENWORTH);85;999
86000850;Motor Home;86;850
86000881;Medium/Heavy - CBE;86;881
86000882;Medium/Heavy – COE low entry;86;882
86000883;Medium/Heavy – COE high entry;86;883
86000884;Medium/Heavy – Unknown engine location;86;884
86000890;Medium/Heavy – COE entry position unknown;86;890
86000898;Other (medium/heavy truck);86;898
86000981;Bus**: Conventional (Engine out front);86;981
86000982;Bus: Front engine, Flat front;86;982
86000983;Bus: Rear engine, Flat front;86;983
86000988;Other (bus);86;988
86000989;Unknown (bus);86;989
86000998;Other (vehicle);86;998
86000999;Unknown (MACK);86;999
87000850;Motor Home;87;850
87000881;Medium/Heavy - CBE;87;881
87000882;Medium/Heavy – COE low entry;87;882
87000883;Medium/Heavy – COE high entry;87;883
87000884;Medium/Heavy – Unknown engine location;87;884
87000890;Medium/Heavy – COE entry position unknown;87;890
87000898;Other (medium/heavy truck);87;898
87000981;Bus**: Conventional (Engine out front);87;981
87000982;Bus: Front engine, Flat front;87;982
87000983;Bus: Rear engine, Flat front;87;983
87000988;Other (bus);87;988
87000989;Unknown (bus);87;989
87000998;Other (vehicle);87;998
87000999;Unknown (PETERBILT);87;999
88000850;Motor Home;88;850
88000881;Medium/Heavy - CBE;88;881
88000882;Medium/Heavy – COE low entry;88;882
88000883;Medium/Heavy – COE high entry;88;883
88000884;Medium/Heavy – Unknown engine location;88;884
88000890;Medium/Heavy – COE entry position unknown;88;890
55000042;Veloster;55;42
55000043;Genesis (G80);55;43
55000044;Genesis (G90);55;44
55000045;Ioniq;55;45
55000046;Genesis (G70);55;46
55000398;Other (automobile);55;398
55000399;Unknown (automobile);55;399
55000401;Santa Fe;55;401
55000402;Tucson;55;402
55000403;Veracruz (2007 only);55;403
55000404;Kona;55;404
55000405;Nexo;55;405
55000406;Venue;55;406
55000421;"Veracruz  (2008 on; see 403 for 2007 only)";55;421
55000422;Palisade;55;422
55000441;Entourage;55;441
55000498;Other (light truck);55;498
55000499;Unknown (light truck);55;499
55000999;Unknown (HYUNDAI);55;999
56000031;XR4Ti;56;31
56000032;Scorpio;56;32
56000398;Other (automobile);56;398
56000399;Unknown (automobile);56;399
57000031;GV/GVL/GVX;57;31
58000031;M30;58;31
58000032;Q45;58;32
58000033;G20;58;33
58000034;J30;58;34
58000035;I30;58;35
58000036;I35;58;36
58000037;G25/G35/G37;58;37
58000038;M35/M37/M45/M56;58;38
58000039;FX35/FX37/FX45/FX50;58;39
58000040;EX35/EX37;58;40
58000041;Q50;58;41
58000042;Q60;58;42
58000043;Q70;58;43
58000044;QX50;58;44
58000045;Q40;58;45
58000047;QX30;58;47
58000398;Other (automobile);58;398
58000399;Unknown (automobile);58;399
58000401;QX4;58;401
58000402;JX35;58;402
58000403;QX60;58;403
58000404;QX70;58;404
58000421;QX56;58;421
58000422;QX80;58;422
88000898;Other (medium/heavy truck);88;898
88000981;Bus**: Conventional (Engine out front);88;981
88000982;Bus: Front engine, Flat front;88;982
88000983;Bus: Rear engine,Flat front;88;983
